asset_id,lbw,split,fragment_start_timestamp,fragment_end_timestamp,fragment_start_timeline_index,fragment_end_timeline_index,fragment_length,reason_code,dropped_sequence_count
CADCHF,10,train,2023-09-04T00:00:00,2023-09-22T00:00:00,5920,5934,15,TERMINAL_FRAGMENT_LT_63,0
CADCHF,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6559,6559,1,MISSING_NEXT_RETURN,0
CADCHF,10,validation,2025-12-02T00:00:00,2026-02-20T00:00:00,6502,6558,57,TERMINAL_FRAGMENT_LT_63,0
CADJPY,10,train,2024-02-23T00:00:00,2024-05-10T00:00:00,4408,4463,56,TERMINAL_FRAGMENT_LT_63,0
CADJPY,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,4925,4925,1,MISSING_NEXT_RETURN,0
CADJPY,10,validation,2026-01-26T00:00:00,2026-02-20T00:00:00,4905,4924,20,TERMINAL_FRAGMENT_LT_63,0
CHFJPY,10,train,2023-06-23T00:00:00,2023-09-06T00:00:00,5983,6036,54,TERMINAL_FRAGMENT_LT_63,0
CHFJPY,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6673,6673,1,MISSING_NEXT_RETURN,0
CHFJPY,10,validation,2026-02-13T00:00:00,2026-02-20T00:00:00,6667,6672,6,TERMINAL_FRAGMENT_LT_63,0
EURAUD,10,train,2023-11-21T00:00:00,2024-02-05T00:00:00,5038,5090,53,TERMINAL_FRAGMENT_LT_63,0
EURAUD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,5621,5621,1,MISSING_NEXT_RETURN,0
EURAUD,10,validation,2026-01-16T00:00:00,2026-02-20T00:00:00,5595,5620,26,TERMINAL_FRAGMENT_LT_63,0
EURCAD,10,train,2023-08-11T00:00:00,2023-09-20T00:00:00,5920,5948,29,TERMINAL_FRAGMENT_LT_63,0
EURCAD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6575,6575,1,MISSING_NEXT_RETURN,0
EURCAD,10,validation,2025-11-28T00:00:00,2026-02-20T00:00:00,6516,6574,59,TERMINAL_FRAGMENT_LT_63,0
EURCHF,10,train,2023-07-18T00:00:00,2023-08-31T00:00:00,6046,6078,33,TERMINAL_FRAGMENT_LT_63,0
EURCHF,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6719,6719,1,MISSING_NEXT_RETURN,0
EURCHF,10,validation,2026-02-09T00:00:00,2026-02-20T00:00:00,6709,6718,10,TERMINAL_FRAGMENT_LT_63,0
EURGBP,10,train,2023-07-10T00:00:00,2023-08-30T00:00:00,6046,6083,38,TERMINAL_FRAGMENT_LT_63,0
EURGBP,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6725,6725,1,MISSING_NEXT_RETURN,0
EURGBP,10,validation,2026-02-06T00:00:00,2026-02-20T00:00:00,6714,6724,11,TERMINAL_FRAGMENT_LT_63,0
EURJPY,10,train,2023-07-04T00:00:00,2023-09-15T00:00:00,5920,5973,54,TERMINAL_FRAGMENT_LT_63,0
EURJPY,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6603,6603,1,MISSING_NEXT_RETURN,0
EURJPY,10,validation,2025-11-25T00:00:00,2026-02-20T00:00:00,6541,6602,62,TERMINAL_FRAGMENT_LT_63,0
EURNZD,10,train,2023-09-07T00:00:00,2023-09-22T00:00:00,5920,5931,12,TERMINAL_FRAGMENT_LT_63,0
EURNZD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6556,6556,1,MISSING_NEXT_RETURN,0
EURNZD,10,validation,2025-12-02T00:00:00,2026-02-20T00:00:00,6499,6555,57,TERMINAL_FRAGMENT_LT_63,0
EURUSD,10,train,2023-07-03T00:00:00,2023-08-30T00:00:00,6046,6088,43,TERMINAL_FRAGMENT_LT_63,0
EURUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6730,6730,1,MISSING_NEXT_RETURN,0
EURUSD,10,validation,2026-02-06T00:00:00,2026-02-20T00:00:00,6719,6729,11,TERMINAL_FRAGMENT_LT_63,0
GBPAUD,10,train,2024-03-18T00:00:00,2024-05-30T00:00:00,4282,4335,54,TERMINAL_FRAGMENT_LT_63,0
GBPAUD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,4783,4783,1,MISSING_NEXT_RETURN,0
GBPAUD,10,validation,2026-02-13T00:00:00,2026-02-20T00:00:00,4777,4782,6,TERMINAL_FRAGMENT_LT_63,0
GBPCAD,10,train,2024-03-12T00:00:00,2024-05-30T00:00:00,4282,4339,58,TERMINAL_FRAGMENT_LT_63,0
GBPCAD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,4787,4787,1,MISSING_NEXT_RETURN,0
GBPCAD,10,validation,2026-02-13T00:00:00,2026-02-20T00:00:00,4781,4786,6,TERMINAL_FRAGMENT_LT_63,0
GBPCHF,10,train,2023-09-04T00:00:00,2023-09-05T00:00:00,6046,6047,2,TERMINAL_FRAGMENT_LT_63,0
GBPCHF,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6685,6685,1,MISSING_NEXT_RETURN,0
GBPCHF,10,validation,2026-02-12T00:00:00,2026-02-20T00:00:00,6678,6684,7,TERMINAL_FRAGMENT_LT_63,0
GBPJPY,10,train,2023-06-30T00:00:00,2023-08-30T00:00:00,6046,6089,44,TERMINAL_FRAGMENT_LT_63,0
GBPJPY,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6731,6731,1,MISSING_NEXT_RETURN,0
GBPJPY,10,validation,2026-02-06T00:00:00,2026-02-20T00:00:00,6720,6730,11,TERMINAL_FRAGMENT_LT_63,0
GBPNZD,10,train,2024-09-06T00:00:00,2024-09-23T00:00:00,3589,3600,12,TERMINAL_FRAGMENT_LT_63,0
GBPNZD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,3966,3966,1,MISSING_NEXT_RETURN,0
GBPNZD,10,validation,2025-12-11T00:00:00,2026-02-20T00:00:00,3916,3965,50,TERMINAL_FRAGMENT_LT_63,0
GBPUSD,10,train,2023-07-04T00:00:00,2023-08-30T00:00:00,6046,6087,42,TERMINAL_FRAGMENT_LT_63,0
GBPUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6729,6729,1,MISSING_NEXT_RETURN,0
GBPUSD,10,validation,2026-02-06T00:00:00,2026-02-20T00:00:00,6718,6728,11,TERMINAL_FRAGMENT_LT_63,0
NZDCAD,10,train,2024-03-28T00:00:00,2024-05-31T00:00:00,4282,4328,47,TERMINAL_FRAGMENT_LT_63,0
NZDCAD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,4775,4775,1,MISSING_NEXT_RETURN,0
NZDCAD,10,validation,2026-02-16T00:00:00,2026-02-20T00:00:00,4770,4774,5,TERMINAL_FRAGMENT_LT_63,0
NZDCHF,10,train,2024-05-29T00:00:00,2024-05-29T00:00:00,4345,4345,1,TERMINAL_FRAGMENT_LT_63,0
NZDCHF,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,4794,4794,1,MISSING_NEXT_RETURN,0
NZDCHF,10,validation,2026-02-12T00:00:00,2026-02-20T00:00:00,4787,4793,7,TERMINAL_FRAGMENT_LT_63,0
NZDJPY,10,train,2024-05-03T00:00:00,2024-05-09T00:00:00,4471,4475,5,TERMINAL_FRAGMENT_LT_63,0
NZDJPY,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,4938,4938,1,MISSING_NEXT_RETURN,0
NZDJPY,10,validation,2026-01-23T00:00:00,2026-02-20T00:00:00,4917,4937,21,TERMINAL_FRAGMENT_LT_63,0
NZDUSD,10,train,2023-07-04T00:00:00,2023-08-30T00:00:00,6046,6087,42,TERMINAL_FRAGMENT_LT_63,0
NZDUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6729,6729,1,MISSING_NEXT_RETURN,0
NZDUSD,10,validation,2026-02-06T00:00:00,2026-02-20T00:00:00,6718,6728,11,TERMINAL_FRAGMENT_LT_63,0
