asset_id,symbol,category,path_pattern,resolution_status,resolution_failure_reason,d_file_path,raw_header,timestamp_column,close_column,schema_status,schema_reason_code,raw_row_count,canonical_row_count,duplicate_identical_count,duplicate_conflict_count,source_sorted_ascending,canonical_first_timestamp,canonical_last_timestamp
IMXUSD,IMXUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/IMXUSD/D/IMXUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1500,1500,0,0,true,2022-01-10,2026-02-23
LNKUSD,LNKUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/LNKUSD/D/LNKUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3072,3072,0,0,true,2017-09-21,2026-02-23
MANUSD,MANUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/MANUSD/D/MANUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1873,1873,0,0,true,2021-01-02,2026-02-23
NEOUSD,NEOUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/NEOUSD/D/NEOUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2845,2845,0,0,true,2018-05-04,2026-02-23
NERUSD,NERUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/NERUSD/D/NERUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1954,1954,0,0,true,2020-10-12,2026-02-23
SANUSD,SANUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/SANUSD/D/SANUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2016,2016,0,0,true,2020-08-01,2026-02-23
UNIUSD,UNIUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/UNIUSD/D/UNIUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1784,1784,0,0,true,2021-04-01,2026-02-23
VECUSD,VECUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/VECUSD/D/VECUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2189,2189,0,0,true,2020-02-21,2026-02-23
XLMUSD,XLMUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/XLMUSD/D/XLMUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3418,3418,0,0,true,2016-10-02,2026-02-23
XMRUSD,XMRUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/XMRUSD/D/XMRUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3121,3121,0,0,true,2017-05-15,2026-02-23
XTZUSD,XTZUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/XTZUSD/D/XTZUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2479,2479,0,0,true,2019-04-15,2026-02-23
