asset_id,symbol,category,path_pattern,d_file_path,raw_row_count,screened_row_count,first_timestamp,last_timestamp
EURHUF,EURHUF,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURHUF/D/EURHUF_data.csv,2890,2890,2015-01-01,2026-02-23
EURNOK,EURNOK,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURNOK/D/EURNOK_data.csv,3389,3389,2013-04-01,2026-02-23
EURPLN,EURPLN,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURPLN/D/EURPLN_data.csv,2888,2888,2015-01-01,2026-02-23
USDCNH,USDCNH,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDCNH/D/USDCNH_data.csv,558,558,2024-01-02,2026-02-23
USDCZK,USDCZK,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDCZK/D/USDCZK_data.csv,2899,2899,2015-01-02,2026-02-23
USDHKD,USDHKD,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDHKD/D/USDHKD_data.csv,4680,4680,2007-07-10,2026-02-23
USDHUF,USDHUF,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDHUF/D/USDHUF_data.csv,2890,2890,2015-01-01,2026-02-23
USDILS,USDILS,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDILS/D/USDILS_data.csv,1074,1074,2022-01-03,2026-02-23
USDMXN,USDMXN,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDMXN/D/USDMXN_data.csv,4698,4698,2007-07-23,2026-02-23
USDNOK,USDNOK,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDNOK/D/USDNOK_data.csv,5188,5188,2006-02-06,2026-02-23
USDPLN,USDPLN,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDPLN/D/USDPLN_data.csv,3401,3401,2013-03-19,2026-02-23
USDSEK,USDSEK,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDSEK/D/USDSEK_data.csv,6728,6728,2000-03-30,2026-02-23
USDSGD,USDSGD,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDSGD/D/USDSGD_data.csv,556,556,2024-01-02,2026-02-23
USDZAR,USDZAR,Exotics,category_symbol_d,data/FTMO Data/Exotics/USDZAR/D/USDZAR_data.csv,5082,5082,2006-01-13,2026-02-23
AUDCAD,AUDCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDCAD/D/AUDCAD_data.csv,6708,6708,2000-03-30,2026-02-23
AUDCHF,AUDCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDCHF/D/AUDCHF_data.csv,6639,6639,2000-03-30,2026-02-23
AUDJPY,AUDJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDJPY/D/AUDJPY_data.csv,6672,6672,2000-03-29,2026-02-23
AUDNZD,AUDNZD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDNZD/D/AUDNZD_data.csv,6618,6618,2000-03-30,2026-02-23
AUDUSD,AUDUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/AUD/AUDUSD/D/AUDUSD_data.csv,6730,6730,2000-03-29,2026-02-23
CADCHF,CADCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/CAD/CADCHF/D/CADCHF_data.csv,6560,6560,2000-03-30,2026-02-23
CADJPY,CADJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/CAD/CADJPY/D/CADJPY_data.csv,4926,4926,2007-02-12,2026-02-23
CHFJPY,CHFJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/CHF/CHFJPY/D/CHFJPY_data.csv,6674,6674,2000-03-29,2026-02-23
