lbw,asset_id,state,rows_written,last_timestamp,retry_count,fallback_count,started_at,finished_at,output_path,error_message
10,BTCUSD,completed,5341,2026-02-23T00:00:00,18,1,2026-04-23T08:09:16Z,2026-04-23T08:09:16Z,artifacts/features/cpd/lbw_10/BTCUSD_cpd.csv,
21,BTCUSD,completed,5341,2026-02-23T00:00:00,6,3,2026-04-23T22:38:39Z,2026-04-23T22:38:39Z,artifacts/features/cpd/lbw_21/BTCUSD_cpd.csv,
63,BTCUSD,completed,5341,2026-02-23T00:00:00,2,0,2026-04-24T20:00:50Z,2026-04-24T20:00:50Z,artifacts/features/cpd/lbw_63/BTCUSD_cpd.csv,
126,BTCUSD,completed,5341,2026-02-23T00:00:00,2,0,2026-04-25T21:55:03Z,2026-04-25T21:55:03Z,artifacts/features/cpd/lbw_126/BTCUSD_cpd.csv,
252,BTCUSD,completed,5341,2026-02-23T00:00:00,0,0,2026-04-27T11:20:45Z,2026-04-27T11:20:45Z,artifacts/features/cpd/lbw_252/BTCUSD_cpd.csv,
10,CADCHF,completed,6560,2026-02-23T00:00:00,15,5,2026-04-23T08:09:16Z,2026-04-23T08:09:16Z,artifacts/features/cpd/lbw_10/CADCHF_cpd.csv,
21,CADCHF,completed,6560,2026-02-23T00:00:00,6,0,2026-04-23T22:38:39Z,2026-04-23T22:38:39Z,artifacts/features/cpd/lbw_21/CADCHF_cpd.csv,
63,CADCHF,completed,6560,2026-02-23T00:00:00,1,0,2026-04-24T20:00:50Z,2026-04-24T20:00:50Z,artifacts/features/cpd/lbw_63/CADCHF_cpd.csv,
126,CADCHF,completed,6560,2026-02-23T00:00:00,0,0,2026-04-25T21:55:03Z,2026-04-25T21:55:03Z,artifacts/features/cpd/lbw_126/CADCHF_cpd.csv,
252,CADCHF,completed,6560,2026-02-23T00:00:00,0,0,2026-04-27T11:20:49Z,2026-04-27T11:20:49Z,artifacts/features/cpd/lbw_252/CADCHF_cpd.csv,
10,CADJPY,completed,4926,2026-02-23T00:00:00,10,1,2026-04-23T08:09:19Z,2026-04-23T08:09:19Z,artifacts/features/cpd/lbw_10/CADJPY_cpd.csv,
21,CADJPY,completed,4926,2026-02-23T00:00:00,3,1,2026-04-23T22:38:41Z,2026-04-23T22:38:41Z,artifacts/features/cpd/lbw_21/CADJPY_cpd.csv,
63,CADJPY,completed,4926,2026-02-23T00:00:00,1,0,2026-04-24T20:00:54Z,2026-04-24T20:00:54Z,artifacts/features/cpd/lbw_63/CADJPY_cpd.csv,
126,CADJPY,completed,4926,2026-02-23T00:00:00,0,0,2026-04-25T21:55:06Z,2026-04-25T21:55:06Z,artifacts/features/cpd/lbw_126/CADJPY_cpd.csv,
252,CADJPY,completed,4926,2026-02-23T00:00:00,0,0,2026-04-27T11:20:49Z,2026-04-27T11:20:49Z,artifacts/features/cpd/lbw_252/CADJPY_cpd.csv,
10,CHFJPY,completed,6674,2026-02-23T00:00:00,21,3,2026-04-23T08:09:19Z,2026-04-23T08:09:19Z,artifacts/features/cpd/lbw_10/CHFJPY_cpd.csv,
21,CHFJPY,completed,6674,2026-02-23T00:00:00,5,1,2026-04-23T22:38:41Z,2026-04-23T23:09:10Z,artifacts/features/cpd/lbw_21/CHFJPY_cpd.csv,
63,CHFJPY,completed,6674,2026-02-23T00:00:00,2,0,2026-04-24T20:00:54Z,2026-04-24T20:00:54Z,artifacts/features/cpd/lbw_63/CHFJPY_cpd.csv,
126,CHFJPY,completed,6674,2026-02-23T00:00:00,1,0,2026-04-25T21:55:06Z,2026-04-25T21:55:06Z,artifacts/features/cpd/lbw_126/CHFJPY_cpd.csv,
252,CHFJPY,completed,6674,2026-02-23T00:00:00,0,0,2026-04-27T11:20:49Z,2026-04-27T11:20:49Z,artifacts/features/cpd/lbw_252/CHFJPY_cpd.csv,
10,COCOA.c,completed,776,2026-02-20T00:00:00,1,0,2026-04-23T08:09:22Z,2026-04-23T08:13:22Z,artifacts/features/cpd/lbw_10/COCOA.c_cpd.csv,
21,COCOA.c,completed,776,2026-02-20T00:00:00,3,0,2026-04-23T22:38:44Z,2026-04-23T22:42:39Z,artifacts/features/cpd/lbw_21/COCOA.c_cpd.csv,
